id,question,category
3491,"I was in a car accident and totaled my car. I gave up my job of nine years to pursue school full-time to better myself. I failed a class, and my boyfriend that I live with thinks I’m stupid and wants to break up with me. I have nowhere to go, and I feel like I’m losing everything.",injury_first_aid
3492,I have been thinking a lot about certain situations and having my worries about what others may think or say.,other_general
3494,I have a bad habit of thinking and worrying about what others may think of me. I really want to stop it and enjoy things.,other_general
3510,I shake and have panic attacks.,mental_health
3528,"My boyfriend and I have been dating for almost a year. We go to different schools, and we don't see each other that often. I just feel very paranoid that there's someone else or that he could be hiding something from me.",other_general
3529,"I'm concerned about my boyfriend. I suffer from anxiety, but I always have this feeling he wants to hurt me because he told me he was interested in BDSM intercourse. We haven't tried it, but I've had this feeling he always wants to.",mental_health
3618,"I keep hearing I am attractive from people around me, and I think I believe it. But I have low confidence regarding approaching girls I like.",other_general
3622,My wife just last week said she wants a divorce and it's all sudden. I understand that marriages have their ups and downs but I don't understand why she can't tell me why she wants a divorce. Should I fight for my family (daughter and wife)?,other_general
3628,"I got engaged, and everything was going well. Things went downhill at some point, and I broke off the engagement due to an opportunity to go to college. After that, I found out she had been cheating on me. I think about her all the time now, and we have been communicating on and off, but my friends/family don't know.",other_general
3636,My fiancé and I broke up. He cheated on me numerous times. I kept forgiving but questioning his every move. He got tired and left.,reproductive_sexual_health
3653,Does this go against any ethical codes? Are there legal ramifications?,other_general
3673,"At a friend's house, we had some drinks and watched some television. He got up and went to bed. I felt sick. He came out to see if I was okay, and I said no. I said I wanted to go home, and he told me to come lay down. As I laid down on the bed, he started touching me. A friend called me, then I able to leave.",other_general
3687,"When I got home, my boyfriend and I got into an argument. He got upset and he started hitting his face. That is the first time he has ever done that, but I would be lying if I said that didn't scare me. I locked myself in the room.",other_general
3790,We make love once per month. Is it normal?,other_general
3792,I have this weird fetish that I'm afraid to open up about it. What should I do?,other_general
3810,"My mother has Alzheimer's and she has become so nasty and mean to everyone and she always asks for unrealistic, silly or meaningless items. I get so frustrated and angry, but then I feel guilty because I know it probably isn’t her fault. How can I cope with feeling like this?",reproductive_sexual_health
3843,"It happens especially at me and my sister, and then she gets emotional and brings up the past. How should I deal with it? She is always stressed about her work and doesn't put her family first.",mental_health
3845,"I'm in love with my own gender, and my parents are against that. I don't know how to tell them because I'm afraid they'll not want me anymore.",other_general
3918,I blame my past relationship for it. I know it is bad to be this way. I want to get past it.,other_general
3940,What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose.,other_general
3948,We do communicate but one of us has trouble accepting what the other person says. How can I fix things?,other_general
3984,"It's been like a couple of years that I've been feeling like this. I don't want to self-diagnose, but I get so sad and cry and then I feel better. But then I get upset with people so quickly, and I hurt their feelings. It's this constant rollercoaster, and it's hard.",other_general
4033,Why do I get this intense stomach pain during the middle of the night?,gastrointestinal
5603,Can I go to the ER for Psoriasis?,dermatology
5637,Spinal Tumor????,oncology
5679,Confused about a particular lab test my Dr ordered,other_general
5727,hematuria after running,other_general
5779,Too physically and mentally tired to do anything I want to do despite healthy living,other_general
5797,What Specialist Should I See?,other_general
5827,Mom started coughing up lots of blood and short of breath.,respiratory
5871,"Frequent headaches, thought they were due to pregnancy, but now I'm not so sure anymore.",neurological
5889,"I donated blood at the beginning of July. Got a letter in the weeks after saying that I had initially tested positive for HTLV 1/2. After conducting the confirmatory test, they explained that the second test came back as negative which confirmed it was a false positive. So fast forward to October 26th and I donated again. Sure enough, it came back as positive for the same HTLV again. They're in the middle of confirmatory testing again and I should know in about a week if it came back negative again. My question is, if it came back as a false positive a few months ago, is there a chance that it could be different this time and come back as positive both times? Should I be worried? If it is a false positive again, should I be worried about whatever is in my blood which is making come back as positive initially?",reproductive_sexual_health
7493,Black/blue skin on the inside of leg,dermatology
7513,"My boyfriend is experiencing sudden sharp back pain—sides of back, near ribs, below shoulder blades",gastrointestinal
7546,Strange stomach issues,gastrointestinal
7598,Urinating makes my brain weak?,neurological
7638,"I have hep c and I'm in the acute phase. The kicker is I don't have insurance and don't know what steps to take until I can see a doctor. What should I avoid and what should I take (milk thistle, etc.)?",other_general
7695,Not sure if I had a seizure or if I feinted?,neurological
7717,Why would anti-depressants cause this bad side effect?,mental_health
7775,Chest pain and breathing problems,cardiovascular
7787,I've taken a notable amount of pills at once. Could I be in danger?,medication_pharmacology
